poem_line,cluster_label,tsne_dim1,tsne_dim2
慷慨志犹存,15,42.083378,26.443596
既伤千里目,17,-7.5639524,-14.881235
还惊九逝魂,10,-3.792784,9.446399
岂不惮艰险,10,-2.4046967,16.833916
深怀国士恩,12,19.243795,9.756928
人生感意气,15,41.470123,25.120413
四海遂为家,4,44.381443,12.894557
慨然抚长剑,15,38.56052,30.360971
济世岂邀名,15,30.317837,35.2863
涂山烽候惊,10,7.0519857,41.215195
辛苦事旌麾,13,-31.363358,23.099222
独有西山将,16,14.0721245,0.85537404
年年属数奇,7,3.6032138,4.002797
居高声自远,4,45.470528,7.656334
金吾不禁夜,2,54.828125,-3.1234498
玉漏莫相催,6,2.278193,-23.21529
徙倚欲何依,19,-2.432345,-8.133107
长歌怀采薇,17,6.5890846,-14.634298
相逢秋月满,14,24.467741,-26.212936
更值夜萤飞,14,30.43534,-23.80764
怅然临古城,5,-32.776646,-13.144968
此志安可平,15,32.70746,30.613821
驱马历长洲,16,40.89959,7.7453566
得成比目何辞死,0,8.16476,-41.78037
愿作鸳鸯不羡仙,0,14.868923,-32.88531
比目鸳鸯真可羡,0,14.808646,-32.963356
双去双来君不见,0,14.746636,-31.379576
生憎帐额绣孤鸾,18,-15.485931,5.916204
好取门帘帖双燕,14,23.531427,-17.58189
一朝零落无人问,6,-32.945225,-22.723747
万古摧残君讵知,7,-18.085598,23.622007
人生贵贱无终始,18,18.797623,22.192183
倏忽须臾难久恃,6,-25.541403,-36.869297
谁家能驻西山日谁家能堰东流水,7,-13.994834,-32.04106
汉家陵树满秦川,6,-44.140835,-21.178713
行来行去尽哀怜,11,-44.215916,2.5961444
不见朱唇将白貌,6,-19.381561,6.8247733
惟闻素棘与黄泉,9,-39.777016,14.396098
寄言坐客神仙署,4,35.99123,-1.360392
一生一死交情处,12,22.141157,4.628274
云间海上邈难期,16,-12.701998,-24.413094
赤心会合在何时,16,7.0875297,-19.070688
但愿尧年一百万,4,30.826012,-4.5373845
长作巢由也不辞,8,30.391829,11.624178
唯馀诗酒意,8,48.713318,-1.457358
当了一生中,16,14.730462,0.35432395
年华已可乐,2,48.39228,-8.950694
高兴复留人,14,53.23241,-7.3716345
鹅鹅鹅,14,40.80705,-11.039449
南冠客思深,17,-6.0805078,-23.375557
不堪玄鬓影,6,-20.91632,-3.038174
无人信高洁,7,-11.221296,27.230927
谁为表予心,12,20.369492,7.099084
此地别燕丹,3,-23.117367,-15.644397
壮士发冲冠,15,33.69002,32.903297
昔时人已没,6,-34.98518,-18.350948
今日水犹寒,9,-41.338207,-28.14958
未必长如此,19,0.1696491,2.99769
芙蓉不耐寒,13,-43.472744,-11.639139
有人笑我诗,18,9.6846075,30.063625
我诗合典雅,4,32.232574,8.189796
不恨会人稀,16,23.643087,-2.4854167
只为知音寡,3,-31.590826,-27.544382
若遣趁宫商,14,34.576904,2.10582
余病莫能罢,13,-28.196363,15.435043
忽遇明眼人,14,23.428736,-22.448595
即自流天下,4,34.668846,10.152056
吾心似秋月,8,42.08042,-24.398363
碧潭清皎洁,14,33.24649,-23.111124
无物堪比伦,4,32.606667,19.530535
教我如何说,19,-0.25808918,-2.060956
莫嫌没滋味,18,16.235699,17.670866
鬼见拍手笑,14,60.614956,-8.343908
梵志翻着袜,18,37.449444,12.442332
人皆道是错,18,8.343508,20.799484
乍可刺你眼,18,4.927668,34.91623
不可隐我脚,18,24.26942,14.514493
火急报春知,14,24.138939,-13.764299
花须连夜发,14,24.14489,-13.717186
莫待晓风催,16,21.182217,-13.496875
摘绝抱蔓归,14,17.013449,2.1971865
所嗟人异雁,3,-24.127312,-22.096357
不作一行归,16,6.4532213,-8.420433
独有宦游人,17,-10.784813,-19.103127
偏惊物候新,14,8.098431,-1.2707396
归思欲沾巾,17,-4.980596,-20.861776
共有樽中好,2,52.000042,-3.8396351
春情著杏花,0,17.547857,-38.115772
愁思看春不当春,5,-32.291134,-2.860332
寄语洛城风日道,16,11.10759,-23.25978
明年春色倍还人,16,21.653822,-18.27471
知君书记本翩翩,4,33.47019,0.47574446
为许从戎赴朔边,15,39.606003,36.796707
红粉楼中应计日,16,2.466081,-23.262703
燕支山下莫经年,3,-13.884053,-14.453557
迟日园林悲昔游,5,-41.95994,-7.189214
今春花鸟作边愁,5,-39.033028,0.17616539
独怜京国人南窜,17,-13.105122,-8.394743
欢娱宴洽赐群后,2,54.528633,-4.3515487
箫鼓哀鸣白云秋,5,-45.06549,-3.0260391
千龄人事一朝空,6,-35.666748,-18.73519
豪雄意气今何在,6,0.2726471,6.4135776
路逢故老长叹息,11,-38.81151,-10.827057
世事回环不可测,19,-3.6865525,-1.2193726
